--------- beginning of crash
06-11 21:56:53.687 F/linker  (29981): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
--------- beginning of kernel
06-11 21:56:55.178 D/[ 5046.331060@3]  logd(    0): logdr: UID=0 GID=0 PID=30000 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-11 21:56:55.182 D/[ 5046.332807@2]  logd(    0): Skipping 4294967295 entries from slow reader, pid 30000, from LogBuffer::kickMe()
--------- beginning of system
06-11 21:56:55.391 I/ActivityTaskManager(  633): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-11 21:56:55.391 D/ActivityStarter(  633):  
06-11 21:56:55.391 D/ActivityStarter(  633): launchedPkgName :: in.startv.hotstar 
06-11 21:56:55.391 D/ActivityStarter(  633): callingPackage :: com.android.shell 
06-11 21:56:55.391 D/ActivityStarter(  633): callingUid :: 0 
06-11 21:56:55.391 D/ActivityStarter(  633): callingPid :: 30012
06-11 21:56:55.402 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.402 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.402 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.402 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.402 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:55.402 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:55.418 D/CompatibilityChangeReporter(  633): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-11 21:56:55.419 D/CompatibilityChangeReporter(  633): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-11 21:56:55.442 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.442 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.442 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.442 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.442 V/DigitalSignage(  633): Bottom: 0
06-11 21:56:55.442 D/DigitalSignage(  633): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-11 21:56:55.471 W/ActivityManager(  633): Slow operation: 54ms so far, now at startProcess: returned from zygote!
06-11 21:56:55.472 W/ActivityManager(  633): Slow operation: 55ms so far, now at startProcess: done updating battery stats
06-11 21:56:55.472 W/ActivityManager(  633): Slow operation: 55ms so far, now at startProcess: building log message
06-11 21:56:55.472 I/ActivityManager(  633): Start proc 30015:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-11 21:56:55.472 W/ActivityManager(  633): Slow operation: 55ms so far, now at startProcess: starting to update pids map
06-11 21:56:55.472 W/ActivityManager(  633): Slow operation: 55ms so far, now at startProcess: done updating pids map
06-11 21:56:55.476 V/DigitalSignage(  633): Package Name: null
06-11 21:56:55.476 V/DigitalSignage(  633): Left: 0
06-11 21:56:55.476 V/DigitalSignage(  633): Right: 0
06-11 21:56:55.476 V/DigitalSignage(  633): Top: 0
06-11 21:56:55.476 V/DigitalSignage(  633): Bottom: 0
