--------- beginning of crash
06-12 16:55:37.164 F/linker  (13997): CANNOT LINK EXECUTABLE "/system/bin/smartcable/smartCableSTBApp": library "libmosquitto.so" not found: needed by main executable
--------- beginning of kernel
06-12 16:55:38.799 D/[ 7614.156471@3]  logd(    0): logdr: UID=0 GID=0 PID=14020 b tail=0 logMask=99 pid=0 start=0ns timeout=0ns
06-12 16:55:38.811 D/[ 7614.165607@0]  logd(    0): Skipping 4294967295 entries from slow reader, pid 14020, from LogBuffer::kickMe()
--------- beginning of system
06-12 16:55:39.006 I/ActivityTaskManager(  632): START u0 {flg=0x10000000 cmp=in.startv.hotstar/com.hotstar.MainActivity} from uid 0
06-12 16:55:39.006 D/ActivityStarter(  632):  
06-12 16:55:39.006 D/ActivityStarter(  632): launchedPkgName :: in.startv.hotstar 
06-12 16:55:39.006 D/ActivityStarter(  632): callingPackage :: com.android.shell 
06-12 16:55:39.006 D/ActivityStarter(  632): callingUid :: 0 
06-12 16:55:39.006 D/ActivityStarter(  632): callingPid :: 14034
06-12 16:55:39.015 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.016 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.016 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.016 V/DigitalSignage(  632): Top: 0
06-12 16:55:39.016 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.016 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.022 D/CompatibilityChangeReporter(  632): Compat change id reported: 135634846; UID 10072; state: DISABLED
06-12 16:55:39.023 D/CompatibilityChangeReporter(  632): Compat change id reported: 143937733; UID 10072; state: ENABLED
06-12 16:55:39.059 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.059 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.059 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.059 V/DigitalSignage(  632): Top: 0
06-12 16:55:39.059 V/DigitalSignage(  632): Bottom: 0
06-12 16:55:39.059 D/DigitalSignage(  632): else - Package Name :: null left : 0 right :: 0 top :: 0 bottom :: 0 dfu-right :: 1920 dfu-bottom :: 1080
06-12 16:55:39.088 W/ActivityManager(  632): Slow operation: 66ms so far, now at startProcess: returned from zygote!
06-12 16:55:39.088 W/ActivityManager(  632): Slow operation: 66ms so far, now at startProcess: done updating battery stats
06-12 16:55:39.088 W/ActivityManager(  632): Slow operation: 66ms so far, now at startProcess: building log message
06-12 16:55:39.088 I/ActivityManager(  632): Start proc 14037:in.startv.hotstar/u0a72 for pre-top-activity {in.startv.hotstar/com.hotstar.MainActivity}
06-12 16:55:39.088 W/ActivityManager(  632): Slow operation: 66ms so far, now at startProcess: starting to update pids map
06-12 16:55:39.088 W/ActivityManager(  632): Slow operation: 67ms so far, now at startProcess: done updating pids map
06-12 16:55:39.092 V/DigitalSignage(  632): Package Name: null
06-12 16:55:39.092 V/DigitalSignage(  632): Left: 0
06-12 16:55:39.092 V/DigitalSignage(  632): Right: 0
06-12 16:55:39.092 V/DigitalSignage(  632): Top: 0
